time,d,rssi
1650976882.0,1.0,58.0
1650976882.0,3.0,65.0
1650976883.0,6.0,71.0
1650976884.0,1.0,63.0
1650976884.0,3.0,63.0
1650976884.0,9.0,84.0
1650976885.0,1.0,63.0
1650976886.0,6.0,71.0
1650976887.0,1.0,62.0
1650976887.0,6.0,75.0
1650976887.0,3.0,66.0
1650976887.0,9.0,85.0
1650976889.0,6.0,80.0
1650976889.0,1.0,59.0
1650976889.0,3.0,64.0
1650976891.0,6.0,85.0
1650976891.0,1.0,59.0
1650976892.0,6.0,79.0
1650976892.0,1.0,63.0
1650976892.0,3.0,65.0
1650976893.0,3.0,64.0
1650976893.0,6.0,71.0
1650976893.0,9.0,86.0
1650976894.0,6.0,70.0
1650976894.0,1.0,71.0
1650976894.0,3.0,64.0
1650976896.0,6.0,75.0
1650976896.0,1.0,62.0
1650976896.0,3.0,63.0
1650976898.0,6.0,75.0
1650976898.0,1.0,66.0
1650976898.0,3.0,65.0
1650976898.0,9.0,86.0
1650976900.0,6.0,74.0
1650976900.0,1.0,58.0
1650976900.0,3.0,66.0
1650976902.0,6.0,85.0
1650976902.0,1.0,59.0
1650976902.0,3.0,66.0
1650976915.0,9.0,79.0
1650976918.0,3.0,71.0
1650976932.0,9.0,81.0
1650976933.0,1.0,68.0
1650976934.0,3.0,68.0
1650976935.0,9.0,77.0
1650976936.0,6.0,75.0
1650976936.0,1.0,59.0
1650976937.0,1.0,60.0
1650976939.0,1.0,63.0
1650976939.0,9.0,85.0
1650976940.0,1.0,65.0
1650976941.0,9.0,83.0
1650976942.0,6.0,74.0
1650976942.0,1.0,66.0
1650976942.0,3.0,65.0
1650976943.0,3.0,66.0
1650976943.0,9.0,82.0
1650976944.0,9.0,85.0
1650976945.0,6.0,79.0
1650976945.0,1.0,61.0
1650976945.0,3.0,71.0
1650976946.0,9.0,79.0
1650976947.0,1.0,56.0
1650976947.0,3.0,65.0
1650976948.0,1.0,57.0
1650976949.0,3.0,67.0
1650976949.0,9.0,83.0
1650976950.0,6.0,76.0
1650976950.0,9.0,85.0
1650976951.0,1.0,57.0
1650976951.0,3.0,64.0
1650976951.0,6.0,81.0
1650976951.0,3.0,63.0
1650976952.0,6.0,72.0
1650976953.0,1.0,62.0
1650976953.0,3.0,63.0
1650976954.0,1.0,69.0
1650976955.0,6.0,72.0
1650976955.0,3.0,64.0
1650976956.0,6.0,77.0
1650976956.0,1.0,63.0
1650976957.0,1.0,68.0
1650976957.0,3.0,81.0
1650976958.0,6.0,86.0
1650976958.0,1.0,64.0
1650976959.0,1.0,64.0
1650976959.0,3.0,68.0
1650976960.0,6.0,83.0
1650976960.0,3.0,70.0
1650976960.0,9.0,79.0
1650976961.0,6.0,85.0
1650976961.0,3.0,67.0
1650976962.0,1.0,57.0
1650976963.0,6.0,86.0
1650976963.0,3.0,67.0
1650976963.0,9.0,82.0
1650976963.0,6.0,85.0
1650976964.0,3.0,61.0
1650976965.0,6.0,71.0
1650976965.0,1.0,61.0
1650976965.0,3.0,67.0
1650976966.0,6.0,71.0
1650976966.0,9.0,91.0
1650976967.0,3.0,69.0
1650976968.0,9.0,87.0
1650976969.0,6.0,80.0
1650976969.0,1.0,68.0
1650976969.0,9.0,86.0
1650976970.0,1.0,69.0
1650976971.0,3.0,67.0
1650976971.0,9.0,85.0
1650976972.0,6.0,76.0
1650976972.0,9.0,85.0
1650976973.0,1.0,59.0
1650976974.0,3.0,67.0
1650976974.0,6.0,80.0
1650976974.0,9.0,86.0
1650976976.0,9.0,97.0
1650976977.0,3.0,61.0
1650976978.0,6.0,74.0
1650976978.0,1.0,62.0
1650976978.0,3.0,67.0
1650976980.0,1.0,62.0
1650976980.0,3.0,64.0
1650976980.0,6.0,83.0
1650976980.0,1.0,68.0
1650976980.0,9.0,82.0
1650976982.0,3.0,75.0
1650976982.0,9.0,81.0
1650976983.0,6.0,77.0
1650976983.0,1.0,63.0
1650976983.0,3.0,68.0
1650976983.0,9.0,83.0
