id,type,mobile_id,number,time,rel_x,rel_y,uuid1,major1,minor1,proximity1,accuracy1,rssi1,uuid2,major2,minor2,proximity2,accuracy2,rssi2,uuid3,major3,minor3,proximity3,accuracy3,rssi3,uuid4,major4,minor4,proximity4,accuracy4,rssi4,uuid5,major5,minor5,proximity5,accuracy5,rssi5,uuid6,major6,minor6,proximity6,accuracy6,rssi6,uuid7,major7,minor7,proximity7,accuracy7,rssi7,uuid8,major8,minor8,proximity8,accuracy8,rssi8,uuid9,major9,minor9,proximity9,accuracy9,rssi9
63159dda5805616f5515d276,beacons,115571,1662361050,14:57:30,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,39.83327309,-70,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,2935.477827,-90,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,29.99257349,-68,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,7.721894864,-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159ddb5805616f5515d277,beacons,115571,1662361051,14:57:31,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,1662.669848,-85,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,19.34517379,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159ddc5805616f5515d278,beacons,115571,1662361052,14:57:32,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,60.18499518,-73,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,39.83327309,-70,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,9.027046541,-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159ddc5805616f5515d279,beacons,115571,1662361052,14:57:32,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,39.83327309,-70,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,131.3917293,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159de85805616f5515d27a,beacons,115571,1662361064,14:57:44,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,45.78640352,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159de85805616f5515d27b,beacons,115571,1662361064,14:57:44,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,60.18499518,-73,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,22.42786574,-66,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,19.34517379,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159de95805616f5515d27c,beacons,115571,1662361065,14:57:45,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,34.59438414,-69,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,6.600368888,-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159de95805616f5515d27d,beacons,115571,1662361065,14:57:45,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,5.639149103,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dea5805616f5515d27e,beacons,115571,1662361066,14:57:46,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,5,0,68.8279124,-74,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,34.59438414,-69,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,2347.53582,-88,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,39.83327309,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dea5805616f5515d27f,beacons,115571,1662361067,14:57:47,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,5,0,68.8279124,-74,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,22.42786574,-66,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,819.9851351,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
