date,minor,accuracy,rssi
2022-04-26 21:10:51,11,134.7243948,-66
2022-04-26 21:10:51,19003,31.48560776,-84
2022-04-26 21:10:51,12,277.9791399,-71
2022-04-26 21:10:51,14,1163.147271,-82
2022-04-26 21:10:52,13,546.5037808,-76
2022-04-26 21:10:52,11,31.76147205,-57
2022-04-26 21:10:53,11,22.42786574,-55
2022-04-26 21:10:53,19003,44.40913628,-87
2022-04-26 21:10:53,12,156.3746411,-67
2022-04-26 21:10:53,13,909.9450111,-80
2022-04-26 21:10:53,19003,117.3223902,-96
2022-04-26 21:10:55,19005,117.3223902,-96
2022-04-26 21:10:55,11,44.5346694,-59
2022-04-26 21:10:56,19005,39.64444522,-86
2022-04-26 21:10:56,19003,55.53579998,-89
2022-04-26 21:10:56,12,209.3400025,-69
2022-04-26 21:10:56,19001,77.01707652,-92
2022-04-26 21:10:56,14,802.984996,-79
2022-04-26 21:10:57,13,277.9791399,-71
2022-04-26 21:10:57,11,22.42786574,-55
2022-04-26 21:10:57,12,85.01840418,-63
2022-04-26 21:10:58,11,22.42786574,-55
2022-04-26 21:10:59,13,366.2837502,-73
2022-04-26 21:10:59,11,52.53898767,-60
2022-04-26 21:10:59,19001,55.53579998,-89
2022-04-26 21:10:59,14,1312.133233,-83
2022-04-26 21:11:00,12,277.9791399,-71
2022-04-26 21:11:00,14,802.984996,-79
2022-04-26 21:11:01,11,1478.076414,-84
2022-04-26 21:11:01,19003,35.35052989,-85
2022-04-26 21:11:02,13,1312.133233,-83
2022-04-26 21:11:02,11,99.34391784,-64
2022-04-26 21:11:02,14,1867.752525,-86
2022-04-26 21:11:03,19003,22.09483195,-81
2022-04-26 21:11:04,12,115.8186631,-65
2022-04-26 21:11:04,19001,130.002185,-97
2022-04-26 21:11:04,13,909.9450111,-80
2022-04-26 21:11:04,11,26.72270083,-56
2022-04-26 21:11:05,11,22.42786574,-55
2022-04-26 21:11:06,19003,49.68990043,-88
2022-04-26 21:11:06,12,134.7243948,-66
2022-04-26 21:11:06,19002,31.48560776,-84
2022-04-26 21:11:06,19001,39.64444522,-86
2022-04-26 21:11:06,14,909.9450111,-80
2022-04-26 21:11:06,13,1312.133233,-83
2022-04-26 21:11:07,12,181.1177218,-68
2022-04-26 21:11:07,14,707.4774921,-78
2022-04-26 21:11:08,19004,117.3223902,-96
2022-04-26 21:11:08,11,31.76147205,-57
2022-04-26 21:11:08,19001,28.01117503,-83
